dates;log Q simule;P simule
2018-09-17;18,4400515;0,11150397
2018-09-18;18,4400515;0,113026117
2018-09-19;18,4400515;0,113784132
2018-09-20;18,4400515;0,11569509
2018-09-21;18,4400515;0,120921726
2018-09-22;18,4400515;0,119642216
2018-09-23;18,4400515;0,119222772
2018-09-24;18,4400515;0,117168516
2018-09-25;18,4400515;0,114694263
2018-09-26;18,4400515;0,115346763
2018-09-27;18,4400515;0,119567755
2018-09-28;18,4400515;0,118659566
2018-09-29;18,4400515;0,117403268
2018-09-30;18,4400515;0,117511438
2018-10-01;18,4400515;0,117429906
2018-10-02;18,4400515;0,116598423
2018-10-03;18,4400515;0,115584955
2018-10-04;18,4400515;0,116896785
2018-10-05;18,4400515;0,117861324
2018-10-06;18,4400515;0,117178823
2018-10-07;18,4400515;0,117065685
2018-10-08;18,4400515;0,118080078
